FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Philippe,Coutinho,MID,LIV,8300000,0,78,1.625,1.9578313253012E-07,9.39759036144578E-06,0,2014905,2,11,0,0,0,5,0,9.4,37366,3,0,78,-3,0.1,0,0.6,10,0,3,0,6,15.8,1770004,0,459,0,2,960,537,0,0,304,Everton,Stoke,Man City,Sunderland,Man Utd,0,0,0,0,0.8,1.1,0.8,0.8,1,0.8,0.8,1.6,0.8,1.3,1.3,0.8,0.8,0.9,0.8,1.2,0.8,1.2
Aaron,Cresswell,DEF,WHU,5300000,6,18,2.6,4.90566037735849E-07,3.39622641509434E-06,0,14727,1,9,0,0,0,0,0,3.4,272,-2,0,18,2,0.3,0,1.8,0,0,2,0,1,0.5,17305,0,514,0,0,614,3254,0,1,97,Hull City,Swansea,Leicester,Man Utd,Crystal Palace,2.9,1.9,1.3,2.1,2.7,2.2,2.4,2.3,2.8,2,2.4,2,2.4,2.3,3.3,2.5,1.7,2.9,2.9,3.1,3.4,1.7
Peter,Crouch,FWD,STK,4700000,0,10,0.208333333333333,4.43262411347518E-08,2.12765957446809E-06,0,30691,0,3,0,0,0,0,0,2.1,621,-3,0,10,3,0.2,0,0.8,0,0,0,0,0,0.6,16085,0,47,0,0,203,574,0,0,26,Leicester,Liverpool,Chelsea,Watford,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Juan,Cuadrado,MID,CHE,6900000,0,0,0,0,0,0,52547,0,0,0,0,0,0,0,0,130,-1,0,0,1,0,0,0,0,0,0,0,0,0.6,661,0,8,0,0,0,3,0,0,0,Crystal Palace,Bournemouth,Stoke,Tottenham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh,Cullen,MID,WHU,4400000,0,0,0,0,0,0,4135,0,0,0,0,0,0,0,0,43,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,833,0,0,0,0,0,10,0,0,0,Hull City,Swansea,Leicester,Man Utd,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Daniels,DEF,BOU,5100000,6,63,4.5,8.82352941176471E-07,1.23529411764706E-05,0,147841,1,19,0,0,0,2,0,12.6,2363,1,-1,63,-1,0.9,0,4.6,8,0,5,0,1,7.2,264541,0,491,0,2,1260,35575,1,0,309,Southampton,Chelsea,Swansea,Arsenal,Hull City,6.8,3.6,3.9,6.5,4.6,6.2,6.1,3.6,5.8,4.2,3.3,6.8,5.9,4.5,4.7,5.7,3.8,5.9,3.5,6.6,6.8,2.5
Scott,Dann,DEF,CRY,5300000,1,34,2.8,5.28301886792453E-07,6.41509433962264E-06,0,226432,2,24,0,0,0,2,0,6.4,4552,-2,0,34,2,0.4,0,2.2,1,0,1,0,1,3.4,79025,0,480,0,1,1080,273,0,0,188,Chelsea,Watford,Arsenal,Swansea,West Ham,2.5,2.4,3.8,2.6,3.5,3.1,2.5,2.7,3.4,2.6,2.6,3.2,2.8,2.2,2.8,3.7,2.5,3.1,3.4,2.5,3.1,2
Tendayi,Darikwa,DEF,BUR,4200000,0,0,0,0,0,0,1569,0,0,0,0,0,0,0,0,32,-3,1,0,3,0,0,0,0,0,0,0,0,0.1,457,0,0,0,0,0,24,-1,0,0,Tottenham,Middlesbrough,Sunderland,Man City,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matteo,Darmian,DEF,MUN,5000000,1,25,0.520833333333333,1.04166666666667E-07,5E-06,0,57707,1,4,0,0,0,0,0,5,1967,-5,0,25,5,0.6,0,3.2,1,0,3,0,0,0.9,20569,0,257,0,0,552,1271,0,0,123,West Brom,Sunderland,Middlesbrough,West Ham,Liverpool,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,David Luiz,DEF,CHE,6100000,6,51,4.3,7.04918032786885E-07,8.36065573770492E-06,0,44993,3,7,0,0,0,0,0,8.4,1734,1,0,51,-1,0.7,0,4,0,0,8,0,0,3.1,133206,0,0,0,0,1080,10780,0,0,263,Crystal Palace,Bournemouth,Stoke,Tottenham,Leicester,5,6.3,5.9,4.3,3,5.8,5.2,5.8,4,5.1,5.3,5.4,5.5,5.3,5,4.5,3.7,6.3,4,5.1,4.7,5.2
Ben,Davies,DEF,TOT,4700000,0,10,0.208333333333333,4.43262411347518E-08,2.12765957446809E-06,0,12028,1,2,0,0,0,0,0,2.1,132,-3,0,10,3,0,0,0,0,0,1,0,0,0.2,6434,0,192,0,0,284,56,0,0,56,Burnley,Southampton,Watford,Chelsea,West Brom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Curtis,Davies,DEF,HUL,4900000,0,28,1.8,3.6734693877551E-07,5.71428571428571E-06,0,86966,2,35,0,0,0,0,0,5.6,2451,-1,1,28,1,0.2,0,1.2,3,0,1,0,1,1.9,97938,0,0,0,1,1440,85,-1,0,267,West Ham,Man City,Everton,West Brom,Bournemouth,1.8,1.3,1.7,1.2,1.9,1,0.9,2,2.1,1.9,0.9,1.4,1,2.2,1.4,1.1,1.7,1.5,1.3,1.4,1.3,1.8
Tom,Davies,MID,EVE,4300000,0,3,0.0625,1.45348837209302E-08,6.97674418604651E-07,0,1569,0,0,0,0,0,0,0,0.7,54,-2,0,3,2,0,0,0,0,0,0,0,0,0,1360,0,0,0,0,43,52,0,0,5,Liverpool,Leicester,Hull City,Southampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven,Davis,MID,SOU,5200000,3,34,2.4,4.61538461538462E-07,6.53846153846154E-06,0,34782,1,12,0,0,0,0,0,6.5,432,-3,0,34,3,0.3,0,1.4,0,0,5,0,1,0.5,4291,0,535,0,0,1164,155,0,0,201,Bournemouth,Tottenham,West Brom,Everton,Burnley,1.2,2,2.1,1.2,1.2,3,1.4,2,1.9,1.3,1.5,2.2,1.2,2.5,1.9,1.2,1.6,1.2,2.2,1.2,1.7,2
Craig,Dawson,DEF,WBA,4800000,0,33,2.2,4.58333333333333E-07,6.875E-06,0,63762,5,18,0,0,0,0,0,6.9,1746,-2,0,33,2,0.5,0,2.2,1,0,3,0,0,1.5,15010,0,433,0,0,1350,228,0,0,186,Man Utd,Arsenal,Southampton,Hull City,Tottenham,1.6,2.8,1.8,2.3,1.4,2,1.7,2.5,2.4,2.6,2,1.3,3,1.2,1.5,2.6,2.7,1.5,1.9,1.3,1.8,1.5
Michael,Dawson,DEF,HUL,4400000,1,25,3.1,7.04545454545455E-07,5.68181818181818E-06,0,10920,1,15,0,0,0,2,0,5.7,2368,-1,0,25,1,0.6,0,2.8,4,0,0,0,0,0.9,41685,1,0,0,2,720,573,0,0,132,West Ham,Man City,Everton,West Brom,Bournemouth,3.8,3.1,3.7,2.9,4.1,2.5,2.2,4.2,4.1,4,1.7,3.2,2.4,4.5,3.2,2.7,3.8,3.4,3.1,3.3,3.1,3.9
Kevin,De Bruyne,MID,MCI,10700000,6,80,5.3,4.95327102803738E-07,7.47663551401869E-06,0,854943,1,16,0,0,0,2,0,7.5,24853,2,1,80,-2,0.3,1,3.6,14,0,2,0,10,9.4,921299,0,546,0,2,1129,6640,-1,0,328,Arsenal,Hull City,Liverpool,Burnley,Everton,4.3,5.7,3.5,7.7,5.1,6.1,4.9,6.3,4.9,6.5,6.5,5.9,4.6,4.4,4.5,6.3,5,6.2,6.5,5.7,7.9,6.1
David,de Gea,GLK,MUN,5400000,2,54,3.4,6.2962962962963E-07,1E-05,0,616144,1,17,0,36,0,0,0,10,18654,-1,0,54,1,0.6,0,3.2,2,0,5,0,0,35.5,252092,0,368,0,1,1440,9168,0,0,244,West Brom,Sunderland,Middlesbrough,West Ham,Liverpool,3.3,3.7,3.7,4.2,4.8,4.3,4.2,2,3.9,3.1,4.7,3.5,3.5,4,4.2,2.7,3.5,2.8,3.6,4.5,3,3.8
Ritchie,de Laet,DEF,LEI,4400000,0,0,0,0,0,0,5692,0,0,0,0,0,0,0,0,30,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,230,0,129,0,0,0,3,0,0,0,Stoke,Everton,West Ham,Middlesbrough,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos,De Pena,MID,MID,4200000,0,0,0,0,0,0,8920,0,0,0,0,0,0,0,0,286,-3,0,0,3,0,0,0,0,0,0,0,0,0.2,9859,0,0,0,0,0,414,0,0,0,Swansea,Burnley,Man Utd,Leicester,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marten,de Roon,MID,MID,4300000,2,28,2.2,5.11627906976744E-07,6.51162790697674E-06,0,18871,3,15,0,0,0,1,0,6.5,1718,-2,0,28,2,0.5,0,2.2,0,0,2,0,0,0.8,43275,0,0,0,0,1042,5100,0,0,146,Swansea,Burnley,Man Utd,Leicester,Watford,1.6,1.4,1.5,2.4,1.6,1.4,1.5,1.1,1.9,1.4,1.5,2.4,1.7,1.5,1.5,2.2,1.1,1.2,1.2,1.1,1.7,1.1
Julien,de Sart,MID,MID,4300000,0,0,0,0,0,0,2749,0,0,0,0,0,0,0,0,60,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,2255,0,0,0,0,0,22,0,0,0,Swansea,Burnley,Man Utd,Leicester,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathieu,Debuchy,DEF,ARS,4700000,0,1,0.0208333333333333,4.43262411347518E-09,2.12765957446809E-07,0,9302,0,0,0,0,0,0,0,0.2,165,-3,0,1,3,0,0,0.2,0,0,0,0,0,0.2,1650,0,11,0,0,15,20,0,0,2,Man City,West Brom,Crystal Palace,Bournemouth,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy,Deeney,FWD,WAT,6800000,1,52,3.3,4.85294117647059E-07,7.64705882352941E-06,0,399867,4,27,0,0,0,3,0,7.6,15959,-2,0,52,2,0.4,0,2.8,4,0,3,0,3,4.6,394933,0,629,0,1,1355,10029,0,0,178,Sunderland,Crystal Palace,Tottenham,Stoke,Middlesbrough,3.3,4,3.9,2.9,3.5,2.3,3.1,4.6,2.8,4.3,3.8,2.4,3.6,4.3,3.7,2.4,4.3,4,4.1,3.1,2.6,3.9
Jermain,Defoe,FWD,SUN,7800000,1,86,5.4,6.92307692307692E-07,1.1025641025641E-05,0,599479,1,27,0,0,0,8,0,11,34609,8,0,86,-8,0.6,0,5,17,0,1,0,2,25.4,1354355,0,595,0,4,1432,59559,0,0,264,Watford,Man Utd,Burnley,Liverpool,Stoke,7.6,5.7,5.6,8,7,5.8,7.8,6.7,7.5,5.4,7.7,6.3,8.1,5.9,5.8,7.2,8,6.2,7.8,6.4,7.8,5
Steven,Defour,MID,BUR,5800000,0,39,0.8125,1.40086206896552E-07,6.72413793103448E-06,0,26478,1,11,0,0,0,1,0,6.7,556,-2,1,39,2,0.1,0,0.8,6,0,3,0,3,0.3,28805,0,0,0,0,682,97,-1,0,171,Tottenham,Middlesbrough,Sunderland,Man City,Southampton,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Damien,Delaney,DEF,CRY,4800000,3,29,2.2,4.58333333333333E-07,6.04166666666667E-06,0,27968,3,19,0,0,0,0,0,6,414,-2,0,29,2,0.5,0,2.2,1,0,2,0,1,0.6,8723,0,366,0,0,1116,236,0,0,195,Chelsea,Watford,Arsenal,Swansea,West Ham,1.7,1.7,2.9,1.8,2.5,2.1,1.7,1.8,2.4,1.8,1.8,2.3,1.9,1.5,1.9,2.8,1.7,2.2,2.4,1.7,2.1,1.3
Fabian,Delph,MID,MCI,4700000,0,2,0.0416666666666667,8.86524822695035E-09,4.25531914893617E-07,0,6387,0,1,0,0,0,0,0,0.4,46,-3,0,2,3,0,0,0,0,0,0,0,0,0.1,1385,0,156,0,0,30,11,0,0,4,Arsenal,Hull City,Liverpool,Burnley,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mousa,Dembele,MID,TOT,5400000,0,23,0.479166666666667,8.87345679012346E-08,4.25925925925926E-06,0,14901,3,8,0,0,0,0,0,4.3,2123,-1,0,23,1,0.3,0,1.4,3,0,3,0,1,0.3,15153,0,473,0,0,670,433,0,0,138,Burnley,Southampton,Watford,Chelsea,West Brom,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jason,Denayer,DEF,SUN,4700000,2,15,0.3125,6.64893617021277E-08,3.19148936170213E-06,0,2954,2,8,0,0,0,0,0,3.2,27,-3,0,15,3,0.4,0,2,0,0,1,0,0,0.1,962,0,0,0,0,611,52,0,0,92,Watford,Man Utd,Burnley,Liverpool,Stoke,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Memphis,Depay,MID,MUN,7100000,0,3,0.0625,8.80281690140845E-09,4.22535211267606E-07,0,6962,1,1,0,0,0,0,0,0.4,52,-4,0,3,4,0,0,0,0,0,0,0,0,0.2,841,0,259,0,0,24,23,0,0,6,West Brom,Sunderland,Middlesbrough,West Ham,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerard,Deulofeu,MID,EVE,6000000,0,13,0.270833333333333,4.51388888888889E-08,2.16666666666667E-06,0,127830,1,6,0,0,0,0,0,2.2,557,-5,0,13,5,0.1,0,0.8,0,0,0,0,0,1,18544,0,283,0,0,460,70,0,0,53,Liverpool,Leicester,Hull City,Southampton,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mohamed,Diame,MID,HUL,5500000,0,0,0,0,0,0,656,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,9,0,0,0,West Ham,Man City,Everton,West Brom,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric,Dier,MID,TOT,5100000,3,29,2.1,4.11764705882353E-07,5.68627450980392E-06,0,370172,2,9,0,0,0,0,0,5.7,3022,-4,0,29,4,0.4,0,2,0,0,6,0,0,4.8,23703,0,526,0,0,1081,1347,0,0,161,Burnley,Southampton,Watford,Chelsea,West Brom,2.4,1,1.1,1.4,1.7,1,1.4,1.9,1,1.6,2.1,1,1.9,1,1,2,2.1,1.1,1.1,1,1.9,1
Adama,Diomande,FWD,HUL,4500000,2,30,2.3,5.11111111111111E-07,6.66666666666667E-06,0,339714,1,16,0,0,0,2,0,6.7,5264,0,0,30,0,0.4,0,2,2,0,2,0,0,5,416765,0,0,0,0,822,19772,0,0,94,West Ham,Man City,Everton,West Brom,Bournemouth,2,2.2,2.4,1.6,2.3,1.3,1.6,2.4,1.8,2.8,1.8,2.5,1.5,2.5,2,2,1.7,2.2,1.4,2.6,2.1,2.3
Mame Biram,Diouf,FWD,STK,5700000,1,19,1.7,2.98245614035088E-07,3.33333333333333E-06,0,27344,1,11,0,0,0,0,0,3.3,587,-3,0,19,3,0.3,0,1.8,0,0,2,0,1,0.4,12999,0,245,0,0,572,611,0,0,71,Leicester,Liverpool,Chelsea,Watford,Sunderland,1.8,1.2,0.9,1.3,1.3,1.2,1.5,1.1,1.4,0.9,1.2,1.3,1,1.1,1,1.5,1.8,1.4,1.6,0.8,1.1,0.9
Brice,Dja Djedje,DEF,WAT,4400000,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,8,-1,0,0,1,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,3,0,0,0,Sunderland,Crystal Palace,Tottenham,Stoke,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papy,Djilobodji,DEF,SUN,4300000,2,15,1.3,3.02325581395349E-07,3.48837209302326E-06,0,7974,3,21,0,0,0,0,0,3.5,135,-2,0,15,2,0.3,0,1.4,0,0,1,0,0,0.2,3911,0,0,0,0,1037,343,0,1,179,Watford,Man Utd,Burnley,Liverpool,Stoke,0.9,0.6,0.6,1.3,1.2,0.6,1.1,0.7,1.2,0.6,0.8,0.7,1.2,0.6,0.6,0.7,1.5,1.3,1.2,0.7,0.8,0.6
Abdoulaye,Doucoure,MID,WAT,4600000,0,1,0.0208333333333333,4.52898550724638E-09,2.17391304347826E-07,0,846,0,1,0,0,0,0,0,0.2,10,-4,0,1,4,0,0,0,0,0,0,0,0,0,170,0,0,0,0,7,1,0,0,3,Sunderland,Crystal Palace,Tottenham,Stoke,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stewart,Downing,MID,MID,5100000,1,39,2.8,5.49019607843137E-07,7.64705882352941E-06,0,46322,1,14,0,0,0,1,0,7.6,1074,-4,0,39,4,0.1,0,0.6,3,0,2,0,2,0.4,16104,0,0,0,0,952,576,0,0,176,Swansea,Burnley,Man Utd,Leicester,Watford,2.4,2,2.3,3.3,2.4,2.1,2.3,1.5,2.7,2.1,2.2,3.4,2.4,2.2,2.2,3.2,1.4,1.8,1.8,1.6,2.5,1.4
Luke,Dreher,MID,CRY,4500000,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,3,0,0,0,Chelsea,Watford,Arsenal,Swansea,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Drinkwater,MID,LEI,5300000,0,31,2.6,4.90566037735849E-07,5.84905660377358E-06,0,299260,1,20,0,0,0,0,0,5.8,3064,-2,0,31,2,0,0,0.2,2,0,3,0,1,4.2,68083,0,592,0,0,1068,454,0,0,192,Stoke,Everton,West Ham,Middlesbrough,Chelsea,0,2.9,2.3,1.7,2,1.3,1.3,2.6,1.4,1.7,2.5,1.3,1.3,2.3,3.5,1.3,1.3,2.4,1.3,2.9,1.3,2.9
Nathan,Dyer,MID,SWA,4700000,0,2,0.0416666666666667,8.86524822695035E-09,4.25531914893617E-07,0,6756,0,2,0,0,0,0,0,0.4,37,-3,0,2,3,0,0,0.2,0,0,0,0,0,0.1,1094,0,64,0,0,16,19,0,0,6,Middlesbrough,West Ham,Bournemouth,Crystal Palace,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oviemuno,Ejaria,MID,LIV,4500000,1,2,0.0416666666666667,9.25925925925926E-09,4.44444444444444E-07,0,131,0,0,0,0,0,0,0,0.4,6,0,0,2,0,0,0,0.2,0,0,0,0,0,0,150,0,0,0,0,8,6,0,0,6,Everton,Stoke,Man City,Sunderland,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew,Eleftheriou,DEF,WAT,4000000,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,64,0,0,0,Sunderland,Crystal Palace,Tottenham,Stoke,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
