FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Max,Gradel,MID,BOU,5000000,0,4,0.0701754385964912,1.40350877192982E-08,8E-07,0,12956,1,0,0,0,0,0,0,0.8,35,-5,0,4,5,0,0,0,0,0,0,0,0,0.1,1026,0,155,0,0,95,9,0,0,14,Arsenal,Hull City,Watford,Crystal Palace,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,Grant,GLK,STK,4400000,1,57,4.1,9.31818181818182E-07,1.29545454545455E-05,0,37859,0,18,0,45,0,0,0,13.3,8054,4,-1,57,-4,0.9,0,4,6,0,5,0,0,7.1,308160,0,0,0,2,1260,47401,1,0,280,Watford,Sunderland,Man Utd,Everton,West Brom,5,3.6,3.9,5,4.6,5.1,4.1,4.9,4.4,4.5,3,3.3,5.8,5.4,4.3,5.9,4.5,5.7,5.1
Andre,Gray,FWD,BUR,6100000,17,54,4.2,6.88524590163934E-07,8.85245901639344E-06,0,489253,1,14,0,0,0,5,0,8.9,8788,-4,0,54,4,0.9,0,5.7,6,0,3,0,2,4,213793,0,0,0,1,980,52866,0,0,148,Man City,Southampton,Arsenal,Leicester,Watford,3.6,5.7,3.1,6.3,3.3,4.8,4.2,4.3,3.3,3.4,5.8,5.6,3.3,3,5.3,4.2,5.7,2.6,6.3
Demarai,Gray,MID,LEI,4800000,3,30,0.526315789473684,1.09649122807018E-07,6.25E-06,0,45045,1,7,0,0,0,1,0,6.3,609,-2,0,30,2,0.5,0,2.3,0,0,1,0,3,0.6,30311,0,57,0,0,398,1397,0,0,112,Middlesbrough,Chelsea,Southampton,Burnley,Man Utd,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Marko,Grujic,MID,LIV,4300000,0,2,0.0350877192982456,8.15993472052224E-09,4.65116279069767E-07,0,26539,0,0,0,0,0,0,0,0.5,112,-7,0,2,7,0,0,0,0,0,0,0,0,0.2,2464,0,0,0,0,30,20,0,0,6,Sunderland,Man Utd,Swansea,Chelsea,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johann Berg,Gudmundsson,MID,BUR,5000000,1,40,0.701754385964912,1.40350877192982E-07,8E-06,0,20531,0,16,0,0,0,1,0,8,280,-5,0,40,5,0.1,0,0.3,3,0,3,0,2,0.2,13274,0,0,0,1,864,61,0,0,155,Man City,Southampton,Arsenal,Leicester,Watford,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Adlene,Guedioura,MID,WAT,4300000,2,19,0.333333333333333,7.75193798449612E-08,4.41860465116279E-06,0,5933,2,17,0,0,0,0,0,4.4,276,-2,0,19,2,0.3,0,1.5,0,0,0,0,1,0.1,6609,0,56,0,0,653,643,0,0,106,Stoke,Middlesbrough,Bournemouth,Arsenal,Burnley,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Idrissa,Gueye,MID,EVE,5000000,2,47,2.6,5.2E-07,9.4E-06,0,28245,6,17,0,0,0,0,0,9.4,1959,0,0,47,0,0.6,0,3,7,0,4,0,2,0.5,34741,0,270,0,0,1575,1613,0,0,322,Southampton,Man City,Crystal Palace,Stoke,Bournemouth,2.3,1.8,1.7,1.7,2.5,1.8,3.4,1.3,2.3,2.4,1.3,1.7,3.1,3.2,1.3,1.7,1.8,2.8,1.3
Ilkay,Gundogan,MID,MCI,5000000,0,41,0.719298245614035,1.43859649122807E-07,8.2E-06,0,673932,0,8,0,0,0,3,0,8.2,8967,-5,0,41,5,0.2,0,0.8,2,0,3,0,1,2.1,698636,0,0,0,1,704,246,0,0,196,Burnley,Everton,Tottenham,West Ham,Swansea,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Bradley,Guzan,GLK,MID,4300000,0,9,0.157894736842105,3.67197062423501E-08,2.09302325581395E-06,0,23255,0,1,0,6,0,0,0,2.1,453,-2,0,9,2,0,0,0,0,0,1,0,0,0.5,9128,0,188,0,0,180,90,0,0,40,Leicester,Watford,West Ham,West Brom,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ben,Hamer,GLK,LEI,4400000,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,8,-1,0,0,1,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,6,0,0,0,Middlesbrough,Chelsea,Southampton,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rekeem,Harper,MID,WBA,4500000,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,12,0,0,0,Hull City,Tottenham,Sunderland,Middlesbrough,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Hart,GLK,MCI,5300000,0,0,0,0,0,0,172258,0,0,0,0,0,0,0,0,164,-2,0,0,2,0,0,0,0,0,0,0,0,1.1,2529,0,360,0,0,0,23,0,0,0,Burnley,Everton,Tottenham,West Ham,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakob,Haugaard,GLK,STK,4300000,0,0,0,0,0,0,2983,0,0,0,0,0,0,0,0,27,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,238,0,31,0,0,0,9,0,0,0,Watford,Sunderland,Man Utd,Everton,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden,Hazard,MID,CHE,10400000,5,118,6.6,6.34615384615385E-07,1.13461538461538E-05,0,1146090,2,13,0,0,0,9,0,11.3,67872,4,0,118,-4,0.5,0,5,17,0,10,0,4,34.9,1702943,0,476,0,3,1515,24364,0,0,453,Tottenham,Leicester,Hull City,Liverpool,Arsenal,5.8,7.7,8.8,5.1,6.7,7.2,8.7,6.5,9.4,7.6,8,7.2,6.9,7.7,8.5,7.4,9,7.5,9.8
Tom,Heaton,GLK,BUR,4900000,2,79,4.6,9.38775510204082E-07,1.61224489795918E-05,0,226509,1,25,0,82,0,0,0,16.1,15330,4,0,79,-4,0.9,0,4.5,13,0,4,0,0,15.7,622024,0,0,1,4,1530,30679,0,0,387,Man City,Southampton,Arsenal,Leicester,Watford,3.9,6.9,4.6,6.1,3.7,6.1,4.5,3.9,4.4,3.1,6.8,6.9,3.9,3.6,5.4,4.6,6.6,4.1,6.9
Jordan,Henderson,MID,LIV,6400000,3,64,3.4,5.3125E-07,1E-05,0,80684,6,21,0,0,0,1,0,10,10922,-1,0,64,1,0.4,0,2.8,9,0,6,0,4,1.7,91075,0,250,0,0,1666,1074,0,0,400,Sunderland,Man Utd,Swansea,Chelsea,Hull City,0,2.7,3.6,2.7,2.7,3.1,2.8,2.5,4.6,2.1,3.6,3.8,2.6,2.6,3.2,3,3.4,2.1,3.7
Jeff,Hendrick,MID,BUR,5400000,0,39,2.6,4.81481481481482E-07,7.22222222222222E-06,0,3661,4,24,0,0,0,2,0,7.2,282,-1,0,39,1,0.4,0,2.3,1,0,3,0,0,0.1,5483,0,0,0,0,1271,115,0,0,130,Man City,Southampton,Arsenal,Leicester,Watford,1.3,2.6,1.3,3.4,1.5,2,1.3,1.3,1.3,1.8,2.3,2.5,1.4,1.3,2.5,1.3,2.5,1.3,2.4
Wayne,Hennessey,GLK,CRY,4300000,2,24,2.4,5.58139534883721E-07,5.58139534883721E-06,0,113320,1,18,0,32,0,0,0,5.6,2231,-2,0,24,2,0.7,0,3,0,0,1,0,0,2.4,36238,0,266,0,0,900,11344,0,0,169,Swansea,West Ham,Everton,Bournemouth,Sunderland,2.1,2.7,2.2,2.1,2.1,2.5,2.2,2.1,2.4,2.2,1.8,2.4,3,1.9,2.4,2.5,2,2.5,1.5
Rouwen,Hennings,FWD,BUR,4500000,0,0,0,0,0,0,3793,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,0,0,0,21,0,0,0,Man City,Southampton,Arsenal,Leicester,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markus,Henriksen,MID,HUL,5000000,0,15,0.263157894736842,5.26315789473684E-08,3E-06,0,808,1,12,0,0,0,0,0,3,17,-5,0,15,5,0.1,0,0.7,0,0,0,0,0,0,899,0,0,0,0,565,10,0,0,61,West Brom,Bournemouth,Chelsea,Man Utd,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Abel,Hernandez,FWD,HUL,5900000,0,24,2.4,4.06779661016949E-07,4.06779661016949E-06,0,128700,0,11,0,0,0,1,0,4.1,388,-1,0,24,1,0,0,0,0,0,2,0,1,0.8,108229,0,0,0,0,671,26,0,0,47,West Brom,Bournemouth,Chelsea,Man Utd,Liverpool,0,2.3,1.4,1.7,2.5,1.7,3,1.9,2.8,1.7,2.7,2.3,2,1.9,2.4,1.7,2.8,2.3,2.3
Luis,Hernandez,DEF,LEI,4200000,0,3,0.0526315789473684,1.2531328320802E-08,7.14285714285714E-07,0,18305,1,8,0,0,0,0,0,0.7,278,-3,0,3,3,0,0,0.2,0,0,0,0,0,0.4,5638,0,0,0,0,327,81,0,0,50,Middlesbrough,Chelsea,Southampton,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ander,Herrera,MID,MUN,6300000,2,40,2.5,3.96825396825397E-07,6.34920634920635E-06,0,28785,2,12,0,0,0,0,0,6.3,4300,-2,0,40,2,0.6,0,3.5,4,0,5,0,2,0.8,39739,0,307,0,0,1277,1952,0,1,273,West Ham,Liverpool,Stoke,Hull City,Leicester,1.4,1.4,1.7,2.1,1.8,2.5,1.3,2.3,1.6,1.9,2,2.1,2.3,1.5,1.6,2.1,1.2,1.2,1.8
Jake,Hesketh,MID,SOU,4500000,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,5,0,0,0,Everton,Burnley,Leicester,Swansea,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz,Hewelt,GLK,EVE,4000000,0,0,0,0,0,0,633,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1894,0,0,0,0,0,177,0,0,0,Southampton,Man City,Crystal Palace,Stoke,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Hinchcliffe,FWD,HUL,4500000,0,0,0,0,0,0,1781,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,2434,0,0,0,0,0,45,0,0,0,West Brom,Bournemouth,Chelsea,Man Utd,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommie,Hoban,DEF,WAT,4000000,0,0,0,0,0,0,11768,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1139,0,0,0,0,0,10,0,0,0,Stoke,Middlesbrough,Bournemouth,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emile,H?jbjerg,MID,SOU,4300000,1,25,0.43859649122807,1.01999184006528E-07,5.81395348837209E-06,0,103619,1,11,0,0,0,0,0,5.8,2155,-2,0,25,2,0.2,0,0.8,0,0,4,0,0,1.3,44251,0,0,0,0,872,1130,0,0,155,Everton,Burnley,Leicester,Swansea,West Ham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Rob,Holding,DEF,ARS,4000000,0,7,0.12280701754386,3.07017543859649E-08,1.75E-06,0,63803,1,5,0,0,0,0,0,1.8,655,-5,0,7,5,0,0,0,0,0,1,0,0,0.6,42968,0,0,0,0,270,1012,0,0,61,Bournemouth,Swansea,Burnley,Watford,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jose,Holebas,DEF,WAT,4800000,-1,52,2.9,6.04166666666667E-07,1.08333333333333E-05,0,226927,9,33,0,0,0,2,0,10.8,29471,3,0,52,-3,0.4,0,1.8,6,0,3,0,3,6.8,473782,0,96,0,1,1561,4928,0,0,279,Stoke,Middlesbrough,Bournemouth,Arsenal,Burnley,3.1,3.1,2.6,3.6,3.5,1.9,4.2,3.7,2.3,2.9,3.1,3.2,2.2,3,2.8,3.8,1.6,2.3,3
Mason,Holgate,DEF,EVE,4000000,0,23,0.403508771929825,1.00877192982456E-07,5.75E-06,0,264254,0,2,0,0,0,0,0,5.8,9772,-5,0,23,5,0.3,0,1.2,3,0,2,0,1,4.3,387477,0,0,0,0,384,27306,0,0,112,Southampton,Man City,Crystal Palace,Stoke,Bournemouth,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
George,Honeyman,MID,SUN,4500000,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,2,0,0,0,Liverpool,Stoke,West Brom,Tottenham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom,Huddlestone,MID,HUL,4600000,1,28,0.491228070175439,1.06788710907704E-07,6.08695652173913E-06,0,9870,2,20,0,0,0,0,0,6.1,154,-4,0,28,4,0.4,0,1.8,0,0,2,0,1,0.2,4715,0,0,0,0,954,147,0,0,157,West Brom,Bournemouth,Chelsea,Man Utd,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Noor,Husin,MID,CRY,4500000,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,8,0,0,0,Swansea,West Ham,Everton,Bournemouth,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert,Huth,DEF,LEI,4900000,5,34,2,4.08163265306122E-07,6.93877551020408E-06,0,60158,6,27,0,0,0,0,0,6.9,973,-1,0,34,1,0.2,0,1.2,0,0,4,0,1,1.2,45432,1,453,0,0,1517,638,0,0,223,Middlesbrough,Chelsea,Southampton,Burnley,Man Utd,1.1,1.7,1.4,1,1.4,1.1,2.4,2.2,1.8,1.7,2.3,1.9,1,1.4,2.1,1.2,1.9,1.1,2.4
Emerson,Hyndman,MID,BOU,4400000,0,0,0,0,0,0,1104,0,0,0,0,0,0,0,0,23,-1,0,0,1,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,35,0,0,0,Arsenal,Hull City,Watford,Crystal Palace,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordon,Ibe,MID,BOU,4900000,0,24,0.421052631578947,8.59291084854995E-08,4.89795918367347E-06,0,156212,0,14,0,0,0,0,0,4.9,752,-6,0,24,6,0.1,0,0.5,0,0,3,0,0,1.3,25068,0,184,0,0,763,148,0,0,98,Arsenal,Hull City,Watford,Crystal Palace,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Zlatan,Ibrahimovic,FWD,MUN,11600000,5,115,6.4,5.51724137931035E-07,9.91379310344828E-06,0,1803247,5,18,0,0,0,12,0,9.9,60141,1,0,115,-1,0.8,0,8.7,21,0,6,0,5,43.3,1788508,0,0,0,5,1620,48970,0,0,387,West Ham,Liverpool,Stoke,Hull City,Leicester,7.8,9.2,8.2,9,7.5,9.1,8.2,9,7.8,8.1,8.9,8.9,7.7,7.7,7.2,8.8,7.8,7.3,8.6
Odion,Ighalo,FWD,WAT,6900000,2,37,2.3,3.33333333333333E-07,5.36231884057971E-06,0,318117,1,27,0,0,0,1,0,5.4,1628,-6,0,37,6,0.2,0,1.5,2,0,2,0,1,2.9,92428,0,709,0,0,1243,356,0,0,77,Stoke,Middlesbrough,Bournemouth,Arsenal,Burnley,1.7,2.2,1.3,1.6,2.9,1.5,2.6,2.2,1.3,2.2,2.6,2.2,1.4,2.7,2.4,2.4,1.7,1.5,2.3
Kelechi,Iheanacho,FWD,MCI,6300000,1,45,3.5,5.55555555555556E-07,7.14285714285714E-06,0,721352,0,6,0,0,0,4,0,7,23588,-7,1,45,7,0.2,0,1.5,6,0,1,0,3,3.5,747305,0,242,0,1,401,2415,-1,0,164,Burnley,Everton,Tottenham,West Ham,Swansea,4.9,3.1,4,3.6,4.6,2.8,3.6,3.5,3.9,4.2,3.2,2.7,4.9,3.2,4,3.4,4.3,4.8,3.4
Giannelli,Imbula,MID,STK,4600000,1,22,0.385964912280702,8.3905415713196E-08,4.78260869565217E-06,0,12803,1,19,0,0,0,0,0,4.8,142,-4,0,22,4,0.4,0,1.7,1,0,2,0,1,0.2,5173,1,194,0,0,787,146,0,0,120,Watford,Sunderland,Man Utd,Everton,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Danny,Ings,FWD,LIV,5400000,0,0,0,0,0,0,22623,0,0,0,0,0,0,0,0,83,-6,0,0,6,0,0,0,0,0,0,0,0,0.2,3694,0,81,0,0,0,35,0,0,0,Sunderland,Man Utd,Swansea,Chelsea,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gokhan,Inler,MID,LEI,4400000,0,0,0,0,0,0,9582,0,0,0,0,0,0,0,0,55,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3739,0,20,0,0,0,10,0,0,0,Middlesbrough,Chelsea,Southampton,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen,Ireland,MID,STK,4400000,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,12,-1,0,0,1,0,0,0,0,0,0,0,0,0,313,0,18,0,0,0,14,0,0,0,Watford,Sunderland,Man Utd,Everton,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lloyd,Isgrove,MID,SOU,4500000,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,5,0,0,0,Everton,Burnley,Leicester,Swansea,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Branislav,Ivanovic,DEF,CHE,5700000,1,23,0.403508771929825,7.07910126192675E-08,4.03508771929825E-06,0,176945,2,9,0,0,0,0,0,4,1005,-3,0,23,3,0.1,0,0.7,2,0,1,0,1,3.2,33287,0,414,0,0,589,219,0,0,143,Tottenham,Leicester,Hull City,Liverpool,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Alex,Iwobi,MID,ARS,5800000,11,54,0.947368421052632,1.63339382940109E-07,9.31034482758621E-06,0,120323,1,9,0,0,0,2,0,9.3,2770,-2,0,54,2,0.7,0,4,5,0,6,0,3,1.1,107596,0,150,0,1,813,13668,0,0,211,Bournemouth,Swansea,Burnley,Watford,Chelsea,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5
